MatchStatus,RISKDATE,COMMENT,QANTITYDIFFERENCE,TRADEID,RECONDATE,BUY_SELL,TRADE_DATE,SETTLE_DATE,INVENTORY,PRICE,CUSIP,QUANTITY,ORIGINAL_FACE,PRICE_TOLERANCE,PRICEDIFFERENCE,ORIGINALFACEDIFFERENCE,TRADING_UNIT_NAME,Catalyst_Action,Catalyst_ActionSUBBTYPE,Catalyst_BUYSELL,Catalyst_CUSIP,Catalyst_ENTRYDATETIME,Catalyst_ETID,Catalyst_EXECUTIONTIME,Catalyst_Id,Catalyst_INVENTORY,Catalyst_ORIGINALFACE,Catalyst_PRICE,Catalyst_PRICE_TOERANCE,Catalyst_PRINICIPLE,Catalyst_QUANTITY,Catalyst_QUANTITY_TOLERANCE,Catalyst_RECONDATE,Catalyst_TRADEDATE,Catalyst_TRADEID,Impact_BLOTTER_CODE,Impact_BUSSINESS_DT,Impact_BUYSELL,Impact_CRNT_POOL_FCTR_RT,Impact_CUSIP,Impact_INVENTORY,Impact_ORIGINALFACE,Impact_PRICE,Impact_PRICE_TOLERANCE,Impact_QUANTITY,Impact_QUANTITY_TOLERANCE,Impact_RECONDATE,Impact_SETTLEDATE,Impact_TRADDATE,Impact_TRADEID,Anomaly
Impact_Only,03-06-2025,,-34000,65582414,03-06-2025,B,12-03-2025,12-04-2025,2F10,100.31,38382EW93,34000,34000,0.001,1,-100.31,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6A,03-06-2025,B,1.0,45950KDL1,UV70,34000,100.086,0.001,34000,1,03-06-2025,12-04-2025,01-01-1990,65582414.0,NO
Impact_Only,03-05-2025,"[{""Intrest update on account VAR update ONLY in backend, FIMO updated intrest back to original in impcat""}]",-16000,65582424,03-06-2025,B,12-10-2024,12-11-2024,2F10,100.17,38382EW95,16000,16000,0.001,1,-100.17,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,B,1.0,38148BAE8,2F10,16000,100.31,0.001,16000,1,03-06-2025,01-01-1990,01-01-1990,65858424.0,NO
Price_Break,03-04-2025,"[{""price braek driven by rounding because quantity is less than 1,000.""}]",0,68984511,03-06-2025,B,03-04-2025,03-05-2025,A480,98.8512,38382EW90,100,100,0.001,1,0.0012,Liquid Product - Treasuries,SUBMITALLOC,ALLOCATING,B,91279LN5,03-04-2025,68984511_IPP,03-04-2025,108589,A480,100,98.8512,0.001,98.85,100,1,03-06-2025,03-05-2025,68911236.0,6N,03-04-2025,B,1.0,91279LN5,A480,100,98.85,0.001,100,1,03-06-2025,03-05-2025,03-06-2025,68984511.0,NO
Quanity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty}]",3,68911237,03-06-2025,B,03-03-2025,03-06-2025,CM10,20.1914,38382EW86,119966816,339309261,0.001,1,0.0,RMBS,NEW,,B,38382EW86,03-03-2025,68911237_IPP,03-03-2025,63385,CM10,339309261,20.1914,0.001,2422987.27,119966816,1,03-06-2025,03-06-2025,68911237.0,6P,03-03-2025,B,0.353,38382EW86,CM10,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-06-2025,68911237.0,NO
Quanity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty}]",43,68911237,03-06-2025,B,03-03-2025,03-06-2025,CM10,20.1914,38382EW86,119966816,339309261,0.001,1,0.0,RMBS,NEW,,B,38382EW86,03-03-2025,68911237_IPP,03-03-2025,63385,CM10,339309261,20.1914,0.001,2422987.27,119966816,1,03-06-2025,03-06-2025,68911237.0,6P,03-03-2025,B,0.353,38382EW86,CM10,339309261,16.2636,0.001,119966813,1,03-06-2025,03-06-2025,03-06-2025,68911237.0,YES
Impact_Only,03-06-2025,,-34000,65582414,03-06-2025,B,12-03-2025,12-04-2025,2F10,100.31,38382EW93,34000,34000,0.001,1,-100.31,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6A,03-06-2025,B,1.0,45950KDL1,UV70,34000,100.086,0.001,34000,1,03-06-2025,12-04-2025,01-01-1990,65582414.0,NO
Impact_Only,03-05-2025,"[{""Intrest update on account VAR update ONLY in backend , FIMO updated intrest back to original in impcat""}]",-10000,65441323,03-06-2025,B,11-07-2024,11-09-2024,2F10,100.17,38382EW95,16000,16000,0.001,1,-100.17,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,,1.0,55261FAL8,2F10,10000,100.31,0.001,16000,1,03-06-2025,01-01-1990,01-01-1990,65441323.0,NO
Impact_Only,03-05-2025,"[{""Intrest update on account VAR update ONLY in backend , FIMO updated intrest back to original in impcat""}]",-10000,65441323,03-06-2025,B,11-07-2024,11-09-2024,2F10,100.17,38382EW95,16000,16000,0.001,1,-100.17,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,,1.0,55261FAL8,2F10,10000,100.31,0.001,16000,1,03-06-2025,01-01-1990,01-01-1990,65441323.0,NO
Quanity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty}]",3,68911236,03-06-2025,B,03-03-2025,03-06-2025,CM10,20.1914,38382EW86,119966816,339309261,0.001,1,0.0,RMBS,SUBMITALLOC,ALLOCATING,B,38382EW86,03-03-2025,68911236_IPP,03-03-2025,63386,CM10,339309261,20.1914,0.001,2422987.27,119966816,1,03-06-2025,03-06-2025,68911236.0,6P,03-03-2025,B,0.353,38382EW86,CM10,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-06-2025,68911236.0,NO
Quanity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty}]",3,68911237,03-06-2025,B,03-03-2025,03-06-2025,CM10,20.1914,38382EW86,119966816,339309261,0.001,1,0.0,RMBS,NEW,,B,38382EW86,03-03-2025,68911237_IPP,03-03-2025,63385,CM10,339309261,20.1914,0.001,2422987.27,119966816,1,03-06-2025,03-06-2025,68911237.0,6P,03-03-2025,B,0.353,38382EW86,CM10,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-06-2025,68911237.0,NO
Impact_Only,03-05-2025,"[{""blotter code update directly in impact causing a false break , due to an additional line item for cxl""}]",-71000000,68710014,03-06-2025,B,02-06-2025,03-05-2025,UV70,100.086,38382EW92,71000000,71000000,0.001,1,-100.086,Liquid Product- Agencies,,,,,01-01-1990,,01-01-1990,207413,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,B,1.0,,,71000000,0.0,0.0,7100000,1,01-01-1990,03-05-2025,01-01-1990,68710014.0,NO
Impact_Only,03-06-2025,,-34000,65582414,03-06-2025,B,12-03-2025,12-04-2025,2F10,100.31,38382EW93,34000,34000,0.001,1,-100.31,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6A,03-06-2025,B,1.0,45950KDL1,UV70,34000,100.086,0.001,34000,1,03-06-2025,12-04-2025,01-01-1990,65582414.0,NO
Impact_Only,03-05-2025,"[{""blotter code update directly in impact causing a false break , due to an additional line item for cxl""}]",-71000000,68710014,03-06-2025,B,02-06-2025,03-05-2025,UV70,100.086,38382EW92,71000000,71000000,0.001,1,-100.086,Liquid Product- Agencies,,,,,01-01-1990,,01-01-1990,207413,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,B,1.0,,,71000000,0.0,0.0,7100000,1,01-01-1990,03-05-2025,01-01-1990,68710014.0,NO
Impact_Only,03-05-2025,"[{""Intrest update on account VAR update ONLY in backend , FIMO updated intrest back to original in impcat""}]",-10000,65441323,03-06-2025,B,11-07-2024,11-09-2024,2F10,100.17,38382EW95,16000,16000,0.001,1,-100.17,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,,1.0,55261FAL8,2F10,10000,100.31,0.001,16000,1,03-06-2025,01-01-1990,01-01-1990,65441323.0,NO
Catalyst_Only,03-06-2025,,1909612,69145541,03-06-2025,B,03-06-2025,03-07-2025,H210,98.125,38382EW91,1909612,1909612,0.001,1,98.125,High Yield Trading,TRADEUPDATE,RESEND_TO_EXT_SYS,B,05351CAA5,03-06-2025,69145541_IPP,03-06-2025,108589,H210,1909612,98.125,0.001,1873806.78,1909612,1,03-06-2025,03-07-2025,69145541.0,,01-01-1990,B,0.0,05351CAA5,H210,0,98.125,0.001,0,0,03-06-2025,01-01-1990,03-06-2025,,NO
Catalyst_Only,03-06-2025,,1909612,69145541,03-06-2025,B,03-06-2025,03-07-2025,H210,98.125,38382EW91,1909612,1909612,0.001,1,98.125,High Yield Trading,TRADEUPDATE,RESEND_TO_EXT_SYS,B,05351CAA5,03-06-2025,69145541_IPP,03-06-2025,108589,H210,1909612,98.125,0.001,1873806.78,1909612,1,03-06-2025,03-07-2025,69145541.0,,01-01-1990,B,0.0,05351CAA5,H210,0,98.125,0.001,0,0,03-06-2025,01-01-1990,03-06-2025,,NO
Quanity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty}]",3,68911236,03-06-2025,B,03-03-2025,03-06-2025,CM10,20.1914,38382EW86,119966816,339309261,0.001,1,0.0,RMBS,SUBMITALLOC,ALLOCATING,B,38382EW86,03-03-2025,68911236_IPP,03-03-2025,63386,CM10,339309261,20.1914,0.001,2422987.27,119966816,1,03-06-2025,03-06-2025,68911236.0,6P,03-03-2025,B,0.353,38382EW86,CM10,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-06-2025,68911236.0,NO
Price_Break,03-04-2025,"[{""price braek driven by rounding because quantity is less than 1,000.""}]",0,68984511,03-06-2025,B,03-04-2025,03-05-2025,A480,98.8512,38382EW90,100,100,0.001,1,0.0012,Liquid Product - Treasuries,SUBMITALLOC,ALLOCATING,B,91279LN5,03-04-2025,68984511_IPP,03-04-2025,108589,A480,100,98.8512,0.001,98.85,100,1,03-06-2025,03-05-2025,68911236.0,6N,03-04-2025,B,1.0,91279LN5,A480,100,98.85,0.001,100,1,03-06-2025,03-05-2025,03-06-2025,68984511.0,NO
Impact_Only,03-05-2025,"[{""Intrest update on account VAR update ONLY in backend, FIMO updated intrest back to original in impcat""}]",-16000,65582424,03-06-2025,B,12-10-2024,12-11-2024,2F10,100.17,38382EW95,16000,16000,0.001,1,-100.17,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,B,1.0,38148BAE8,2F10,16000,100.31,0.001,16000,1,03-06-2025,01-01-1990,01-01-1990,65858424.0,NO
Catalyst_Only,03-06-2025,,1909612,69145541,03-06-2025,B,03-06-2025,03-07-2025,H210,98.125,38382EW91,1909612,1909612,0.001,1,98.125,High Yield Trading,TRADEUPDATE,RESEND_TO_EXT_SYS,B,05351CAA5,03-06-2025,69145541_IPP,03-06-2025,108589,H210,1909612,98.125,0.001,1873806.78,1909612,1,03-06-2025,03-07-2025,69145541.0,,01-01-1990,B,0.0,05351CAA5,H210,0,98.125,0.001,0,0,03-06-2025,01-01-1990,03-06-2025,,NO
Catalyst_Only,03-06-2025,,1909612,69145541,03-06-2025,B,03-06-2025,03-07-2025,H210,98.125,38382EW91,1909612,1909612,0.001,1,98.125,High Yield Trading,TRADEUPDATE,RESEND_TO_EXT_SYS,B,05351CAA5,03-06-2025,69145541_IPP,03-06-2025,108589,H210,1909612,98.125,0.001,1873806.78,1909612,1,03-06-2025,03-07-2025,69145541.0,,01-01-1990,B,0.0,05351CAA5,H210,0,98.125,0.001,0,0,03-06-2025,01-01-1990,03-06-2025,,NO
Impact_Only,03-05-2025,"[{""Intrest update on account VAR update ONLY in backend, FIMO updated intrest back to original in impcat""}]",-16000,65582424,03-06-2025,B,12-10-2024,12-11-2024,2F10,100.17,38382EW95,16000,16000,0.001,1,-100.17,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,B,1.0,38148BAE8,2F10,16000,100.31,0.001,16000,1,03-06-2025,01-01-1990,01-01-1990,65858424.0,NO
Impact_Only,03-06-2025,,-34000,65582414,03-06-2025,B,12-03-2025,12-04-2025,2F10,100.31,38382EW93,34000,34000,0.001,1,-100.31,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6A,03-06-2025,B,1.0,45950KDL1,UV70,34000,100.086,0.001,34000,1,03-06-2025,12-04-2025,01-01-1990,65582414.0,NO
Price_Break,03-04-2025,"[{""price braek driven by rounding because quantity is less than 1,000.""}]",0,68984511,03-06-2025,B,03-04-2025,03-05-2025,A480,98.8512,38382EW90,100,100,0.001,1,0.0012,Liquid Product - Treasuries,SUBMITALLOC,ALLOCATING,B,91279LN5,03-04-2025,68984511_IPP,03-04-2025,108589,A480,100,98.8512,0.001,98.85,100,1,03-06-2025,03-05-2025,68911236.0,6N,03-04-2025,B,1.0,91279LN5,A480,100,98.85,0.001,100,1,03-06-2025,03-05-2025,03-06-2025,68984511.0,NO
Impact_Only,03-05-2025,"[{""blotter code update directly in impact causing a false break , due to an additional line item for cxl""}]",-71000000,68710014,03-06-2025,B,02-06-2025,03-05-2025,UV70,100.086,38382EW92,71000000,71000000,0.001,1,-100.086,Liquid Product- Agencies,,,,,01-01-1990,,01-01-1990,207413,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,B,1.0,,,71000000,0.0,0.0,7100000,1,01-01-1990,03-05-2025,01-01-1990,68710014.0,NO
Impact_Only,03-05-2025,"[{""Intrest update on account VAR update ONLY in backend , FIMO updated intrest back to original in impcat""}]",-10000,65441323,03-06-2025,B,11-07-2024,11-09-2024,2F10,100.17,38382EW95,16000,16000,0.001,1,-100.17,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,,1.0,55261FAL8,2F10,10000,100.31,0.001,16000,1,03-06-2025,01-01-1990,01-01-1990,65441323.0,NO
Impact_Only,03-06-2025,,-34000,65582414,03-06-2025,B,12-03-2025,12-04-2025,2F10,100.31,38382EW93,34000,34000,0.001,1,-100.31,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6A,03-06-2025,B,1.0,45950KDL1,UV70,34000,100.086,0.001,34000,1,03-06-2025,12-04-2025,01-01-1990,65582414.0,NO
Impact_Only,03-05-2025,"[{""Intrest update on account VAR update ONLY in backend, FIMO updated intrest back to original in impcat""}]",-16000,65582424,03-06-2025,B,12-10-2024,12-11-2024,2F10,100.17,38382EW95,16000,16000,0.001,1,-100.17,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,B,1.0,38148BAE8,2F10,16000,100.31,0.001,16000,1,03-06-2025,01-01-1990,01-01-1990,65858424.0,NO
Impact_Only,03-05-2025,"[{""Intrest update on account VAR update ONLY in backend, FIMO updated intrest back to original in impcat""}]",-16000,65582424,03-06-2025,B,12-10-2024,12-11-2024,2F10,100.17,38382EW95,16000,16000,0.001,1,-100.17,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,B,1.0,38148BAE8,2F10,16000,100.31,0.001,16000,1,03-06-2025,01-01-1990,01-01-1990,65858424.0,NO
Price_Break,03-04-2025,"[{""price braek driven by rounding because quantity is less than 1,000.""}]",0,68984511,03-06-2025,B,03-04-2025,03-05-2025,A480,98.8512,38382EW90,100,100,0.001,1,0.0012,Liquid Product - Treasuries,SUBMITALLOC,ALLOCATING,B,91279LN5,03-04-2025,68984511_IPP,03-04-2025,108589,A480,100,98.8512,0.001,98.85,100,1,03-06-2025,03-05-2025,68911236.0,6N,03-04-2025,B,1.0,91279LN5,A480,100,98.85,0.001,100,1,03-06-2025,03-05-2025,03-06-2025,68984511.0,NO
Price_Break,03-04-2025,"[{""price braek driven by rounding because quantity is less than 1,000.""}]",0,68984511,03-06-2025,B,03-04-2025,03-05-2025,A480,98.8512,38382EW90,100,100,0.001,1,0.0012,Liquid Product - Treasuries,SUBMITALLOC,ALLOCATING,B,91279LN5,03-04-2025,68984511_IPP,03-04-2025,108589,A480,100,98.8512,0.001,98.85,100,1,03-06-2025,03-05-2025,68911236.0,6N,03-04-2025,B,1.0,91279LN5,A480,100,98.85,0.001,100,1,03-06-2025,03-05-2025,03-06-2025,68984511.0,NO
Catalyst_Only,03-06-2025,,1909612,69145541,03-06-2025,B,03-06-2025,03-07-2025,H210,98.125,38382EW91,1909612,1909612,0.001,1,98.125,High Yield Trading,TRADEUPDATE,RESEND_TO_EXT_SYS,B,05351CAA5,03-06-2025,69145541_IPP,03-06-2025,108589,H210,1909612,98.125,0.001,1873806.78,1909612,1,03-06-2025,03-07-2025,69145541.0,,01-01-1990,B,0.0,05351CAA5,H210,0,98.125,0.001,0,0,03-06-2025,01-01-1990,03-06-2025,,NO
Impact_Only,03-05-2025,"[{""Intrest update on account VAR update ONLY in backend, FIMO updated intrest back to original in impcat""}]",-16000,65582424,03-06-2025,B,12-10-2024,12-11-2024,2F10,100.17,38382EW95,16000,16000,0.001,1,-100.17,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,B,1.0,38148BAE8,2F10,16000,100.31,0.001,16000,1,03-06-2025,01-01-1990,01-01-1990,65858424.0,NO
Quanity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty}]",3,68911237,03-06-2025,B,03-03-2025,03-06-2025,CM10,20.1914,38382EW86,119966816,339309261,0.001,1,0.0,RMBS,NEW,,B,38382EW86,03-03-2025,68911237_IPP,03-03-2025,63385,CM10,339309261,20.1914,0.001,2422987.27,119966816,1,03-06-2025,03-06-2025,68911237.0,6P,03-03-2025,B,0.353,38382EW86,CM10,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-06-2025,68911237.0,NO
Impact_Only,03-05-2025,"[{""Intrest update on account VAR update ONLY in backend , FIMO updated intrest back to original in impcat""}]",-10000,65441323,03-06-2025,B,11-07-2024,11-09-2024,2F10,100.17,38382EW95,16000,16000,0.001,1,-100.17,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,,1.0,55261FAL8,2F10,10000,100.31,0.001,16000,1,03-06-2025,01-01-1990,01-01-1990,65441323.0,NO
Impact_Only,03-06-2025,,-34000,65582414,03-06-2025,B,12-03-2025,12-04-2025,2F10,100.31,38382EW93,34000,34000,0.001,1,-100.31,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6A,03-06-2025,B,1.0,45950KDL1,UV70,34000,100.086,0.001,34000,1,03-06-2025,12-04-2025,01-01-1990,65582414.0,NO
Quanity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty}]",3,68911236,03-06-2025,B,03-03-2025,03-06-2025,CM10,20.1914,38382EW86,119966816,339309261,0.001,1,0.0,RMBS,SUBMITALLOC,ALLOCATING,B,38382EW86,03-03-2025,68911236_IPP,03-03-2025,63386,CM10,339309261,20.1914,0.001,2422987.27,119966816,1,03-06-2025,03-06-2025,68911236.0,6P,03-03-2025,B,0.353,38382EW86,CM10,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-06-2025,68911236.0,NO
Impact_Only,03-06-2025,,-34000,65582414,03-06-2025,B,12-03-2025,12-04-2025,2F10,100.31,38382EW93,34000,34000,0.001,1,-100.31,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6A,03-06-2025,B,1.0,45950KDL1,UV70,34000,100.086,0.001,34000,1,03-06-2025,12-04-2025,01-01-1990,65582414.0,NO
Price_Break,03-04-2025,"[{""price braek driven by rounding because quantity is less than 1,000.""}]",0,68984511,03-06-2025,B,03-04-2025,03-05-2025,A480,98.8512,38382EW90,100,100,0.001,1,0.0012,Liquid Product - Treasuries,SUBMITALLOC,ALLOCATING,B,91279LN5,03-04-2025,68984511_IPP,03-04-2025,108589,A480,100,98.8512,0.001,98.85,100,1,03-06-2025,03-05-2025,68911236.0,6N,03-04-2025,B,1.0,91279LN5,A480,100,98.85,0.001,100,1,03-06-2025,03-05-2025,03-06-2025,68984511.0,NO
Impact_Only,03-05-2025,"[{""blotter code update directly in impact causing a false break , due to an additional line item for cxl""}]",-71000000,68710014,03-06-2025,B,02-06-2025,03-05-2025,UV70,100.086,38382EW92,71000000,71000000,0.001,1,-100.086,Liquid Product- Agencies,,,,,01-01-1990,,01-01-1990,207413,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,B,1.0,,,71000000,0.0,0.0,7100000,1,01-01-1990,03-05-2025,01-01-1990,68710014.0,NO
Quanity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty}]",3,68911235,03-06-2025,B,03-03-2025,03-06-2025,TQ40,20.1914,38382EW86,119966816,339309261,0.001,1,0.0,RMBS,NEW,MATCH,B,38382EW86,03-03-2025,68911235_IPP,03-03-2025,63384,TQ40,3393309261,20.1914,0.001,2422987.27,119966816,1,03-06-2025,03-06-2025,68911235.0,6P,03-03-2025,B,0.353,38382EW86,TQ40,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-06-2025,68911235.0,NO
Catalyst_Only,03-06-2025,,1909612,69145541,03-06-2025,B,03-06-2025,03-07-2025,H210,98.125,38382EW91,1909612,1909612,0.001,1,98.125,High Yield Trading,TRADEUPDATE,RESEND_TO_EXT_SYS,B,05351CAA5,03-06-2025,69145541_IPP,03-06-2025,108589,H210,1909612,98.125,0.001,1873806.78,1909612,1,03-06-2025,03-07-2025,69145541.0,,01-01-1990,B,0.0,05351CAA5,H210,0,98.125,0.001,0,0,03-06-2025,01-01-1990,03-06-2025,,NO
Impact_Only,03-05-2025,"[{""Intrest update on account VAR update ONLY in backend, FIMO updated intrest back to original in impcat""}]",-16000,65582424,03-06-2025,B,12-10-2024,12-11-2024,2F10,100.17,38382EW95,16000,16000,0.001,1,-100.17,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,B,1.0,38148BAE8,2F10,16000,100.31,0.001,16000,1,03-06-2025,01-01-1990,01-01-1990,65858424.0,NO
Quanity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty}]",3,68911236,03-06-2025,B,03-03-2025,03-06-2025,CM10,20.1914,38382EW86,119966816,339309261,0.001,1,0.0,RMBS,SUBMITALLOC,ALLOCATING,B,38382EW86,03-03-2025,68911236_IPP,03-03-2025,63386,CM10,339309261,20.1914,0.001,2422987.27,119966816,1,03-06-2025,03-06-2025,68911236.0,6P,03-03-2025,B,0.353,38382EW86,CM10,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-06-2025,68911236.0,NO
Catalyst_Only,03-06-2025,,1909612,69145541,03-06-2025,B,03-06-2025,03-07-2025,H210,98.125,38382EW91,1909612,1909612,0.001,1,98.125,High Yield Trading,TRADEUPDATE,RESEND_TO_EXT_SYS,B,05351CAA5,03-06-2025,69145541_IPP,03-06-2025,108589,H210,1909612,98.125,0.001,1873806.78,1909612,1,03-06-2025,03-07-2025,69145541.0,,01-01-1990,B,0.0,05351CAA5,H210,0,98.125,0.001,0,0,03-06-2025,01-01-1990,03-06-2025,,NO
Price_Break,03-04-2025,"[{""price braek driven by rounding because quantity is less than 1,000.""}]",0,68984511,03-06-2025,B,03-04-2025,03-05-2025,A480,98.8512,38382EW90,100,100,0.001,1,0.0012,Liquid Product - Treasuries,SUBMITALLOC,ALLOCATING,B,91279LN5,03-04-2025,68984511_IPP,03-04-2025,108589,A480,100,98.8512,0.001,98.85,100,1,03-06-2025,03-05-2025,68911236.0,6N,03-04-2025,B,1.0,91279LN5,A480,100,98.85,0.001,100,1,03-06-2025,03-05-2025,03-06-2025,68984511.0,NO
Impact_Only,03-05-2025,"[{""Intrest update on account VAR update ONLY in backend , FIMO updated intrest back to original in impcat""}]",-10000,65441323,03-06-2025,B,11-07-2024,11-09-2024,2F10,100.17,38382EW95,16000,16000,0.001,1,-100.17,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6P,03-06-2025,,1.0,55261FAL8,2F10,10000,100.31,0.001,16000,1,03-06-2025,01-01-1990,01-01-1990,65441323.0,NO
Quanity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty}]",3,68911236,03-06-2025,B,03-03-2025,03-06-2025,CM10,20.1914,38382EW86,119966816,339309261,0.001,1,0.0,RMBS,SUBMITALLOC,ALLOCATING,B,38382EW86,03-03-2025,68911236_IPP,03-03-2025,63386,CM10,339309261,20.1914,0.001,2422987.27,119966816,1,03-06-2025,03-06-2025,68911236.0,6P,03-03-2025,B,0.353,38382EW86,CM10,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-06-2025,68911236.0,NO
Price_Break,03-04-2025,"[{""price braek driven by rounding because quantity is less than 1,000.""}]",0,68984511,03-06-2025,B,03-04-2025,03-05-2025,A480,98.8512,38382EW90,100,100,0.001,1,0.0012,Liquid Product - Treasuries,SUBMITALLOC,ALLOCATING,B,91279LN5,03-04-2025,68984511_IPP,03-04-2025,108589,A480,100,98.8512,0.001,98.85,100,1,03-06-2025,03-05-2025,68911236.0,6N,03-04-2025,B,1.0,91279LN5,A480,100,98.85,0.001,100,1,03-06-2025,03-05-2025,03-06-2025,68984511.0,NO
Impact_Only,03-06-2025,,-33960,65582414,03-06-2025,B,12-03-2025,12-04-2025,2F10,100.31,38382EW93,34000,34000,0.001,1,-100.31,High Grade Trading,,,,,01-01-1990,,01-01-1990,0,,0,0.0,0.0,,0,0,01-01-1990,01-01-1990,,6A,03-06-2025,B,1.0,45950KDL1,UV70,34000,96.2686,0.001,34000,1,03-06-2025,12-04-2025,01-01-1990,65582414.0,YES
